image_name,disease_type,healthy_pixels,disease_pixels,vegetation_pixels,healthy_percentage,disease_percentage,severity
Soybean_0033,soybean_bacterial_blight,130601,29379,159980,81.64,18.36,Moderate
Soybean_0040,soybean_bacterial_blight,114358,40890,155248,73.66,26.34,Moderate
Soybean_0045,soybean_bacterial_blight,126320,77575,203895,61.95,38.05,High
Soybean_0047,soybean_bacterial_blight,147985,13747,161732,91.5,8.5,Low
Soybean_0050,soybean_bacterial_blight,110943,25289,136232,81.44,18.56,Moderate
Soybean_0053,soybean_bacterial_blight,100884,17202,118086,85.43,14.57,Moderate
Soybean_0054,soybean_bacterial_blight,139050,25008,164058,84.76,15.24,Moderate
Soybean_0055,soybean_bacterial_blight,149700,63789,213489,70.12,29.88,Moderate
Soybean_0056,soybean_bacterial_blight,69626,8713,78339,88.88,11.12,Moderate
Soybean_0058,soybean_bacterial_blight,161795,23345,185140,87.39,12.61,Moderate
Soybean_0059,soybean_bacterial_blight,123194,20470,143664,85.75,14.25,Moderate
Soybean_0060,soybean_bacterial_blight,139988,11377,151365,92.48,7.52,Low
Soybean_0061,soybean_bacterial_blight,121695,12548,134243,90.65,9.35,Low
Soybean_0071,soybean_bacterial_blight,75062,30967,106029,70.79,29.21,Moderate
Soybean_0073,soybean_bacterial_blight,82676,66558,149234,55.4,44.6,High
Soybean_0088,soybean_bacterial_blight,120818,30094,150912,80.06,19.94,Moderate
Soybean_0089,soybean_bacterial_blight,108604,55622,164226,66.13,33.87,High
Soybean_0090,soybean_bacterial_blight,125544,41457,167001,75.18,24.82,Moderate
Soybean_0091,soybean_bacterial_blight,145908,55611,201519,72.4,27.6,Moderate
Soybean_0092,soybean_bacterial_blight,101275,63890,165165,61.32,38.68,High
Soybean_0093,soybean_bacterial_blight,144067,74738,218805,65.84,34.16,High
Soybean_0095,soybean_bacterial_blight,134907,80679,215586,62.58,37.42,High
Soybean_0096,soybean_bacterial_blight,153285,17818,171103,89.59,10.41,Moderate
Soybean_0097,soybean_bacterial_blight,177249,33822,211071,83.98,16.02,Moderate
Soybean_0102,soybean_bacterial_blight,114755,41540,156295,73.42,26.58,Moderate
Soybean_0106,soybean_bacterial_blight,104935,24247,129182,81.23,18.77,Moderate
Soybean_0107,soybean_bacterial_blight,61358,41346,102704,59.74,40.26,High
Soybean_0109,soybean_bacterial_blight,94825,18427,113252,83.73,16.27,Moderate
Soybean_0111,soybean_bacterial_blight,54065,36905,90970,59.43,40.57,High
Soybean_0119,soybean_bacterial_blight,87902,46836,134738,65.24,34.76,High
Soybean_0134,soybean_bacterial_blight,78527,34491,113018,69.48,30.52,High
Soybean_0135,soybean_bacterial_blight,106637,34481,141118,75.57,24.43,Moderate
Soybean_0137,soybean_bacterial_blight,82356,48747,131103,62.82,37.18,High
Soybean_0145,soybean_bacterial_blight,52411,33945,86356,60.69,39.31,High
Soybean_0146,soybean_bacterial_blight,95031,61615,156646,60.67,39.33,High
Soybean_0149,soybean_bacterial_blight,71639,17012,88651,80.81,19.19,Moderate
Soybean_0154,soybean_bacterial_blight,82755,27812,110567,74.85,25.15,Moderate
Soybean_0161,soybean_bacterial_blight,131766,17331,149097,88.38,11.62,Moderate
Soybean_0165,soybean_bacterial_blight,98610,28441,127051,77.61,22.39,Moderate
Soybean_0166,soybean_bacterial_blight,69753,18202,87955,79.31,20.69,Moderate
Soybean_0167,soybean_bacterial_blight,92592,42939,135531,68.32,31.68,High
Soybean_0173,soybean_bacterial_blight,107521,48238,155759,69.03,30.97,High
Soybean_0179,soybean_bacterial_blight,78033,21787,99820,78.17,21.83,Moderate
Soybean_0192,soybean_bacterial_blight,83504,23408,106912,78.11,21.89,Moderate
Soybean_0205,soybean_bacterial_blight,89472,62110,151582,59.03,40.97,High
Soybean_0206,soybean_bacterial_blight,43572,23167,66739,65.29,34.71,High
Soybean_0210,soybean_bacterial_blight,70932,55354,126286,56.17,43.83,High
Soybean_0219,soybean_bacterial_blight,78957,79716,158673,49.76,50.24,Severe
Soybean_0237,soybean_bacterial_blight,84506,35435,119941,70.46,29.54,Moderate
Soybean_0239,soybean_bacterial_blight,65027,26033,91060,71.41,28.59,Moderate
Soybean_0240,soybean_bacterial_blight,103204,29326,132530,77.87,22.13,Moderate
Soybean_0241,soybean_bacterial_blight,63269,14004,77273,81.88,18.12,Moderate
Soybean_0243,soybean_bacterial_blight,92005,54492,146497,62.8,37.2,High
Soybean_0244,soybean_bacterial_blight,122921,17793,140714,87.36,12.64,Moderate
Soybean_0248,soybean_bacterial_blight,65096,9141,74237,87.69,12.31,Moderate
Soybean_0250,soybean_bacterial_blight,99223,35205,134428,73.81,26.19,Moderate
Soybean_0251,soybean_bacterial_blight,108433,49523,157956,68.65,31.35,High
Soybean_0253,soybean_bacterial_blight,89138,29520,118658,75.12,24.88,Moderate
Soybean_0254,soybean_bacterial_blight,91087,38665,129752,70.2,29.8,Moderate
Soybean_0255,soybean_bacterial_blight,124090,21203,145293,85.41,14.59,Moderate
Soybean_0258,soybean_bacterial_blight,86620,47506,134126,64.58,35.42,High
Soybean_0260,soybean_bacterial_blight,66883,24327,91210,73.33,26.67,Moderate
Soybean_0261,soybean_bacterial_blight,64553,16051,80604,80.09,19.91,Moderate
Soybean_0262,soybean_bacterial_blight,72941,13120,86061,84.75,15.25,Moderate
Soybean_0268,soybean_bacterial_blight,75889,32339,108228,70.12,29.88,Moderate
Soybean_0271,soybean_bacterial_blight,91710,40657,132367,69.28,30.72,High
Wheat_C230514_0004,wheat_stripe_rust,30020,12988,43008,69.8,30.2,High
Wheat_C230514_0005,wheat_stripe_rust,27696,3139,30835,89.82,10.18,Moderate
Wheat_C230514_0006,wheat_stripe_rust,28339,13519,41858,67.7,32.3,High
Wheat_C230514_0007,wheat_stripe_rust,34088,3348,37436,91.06,8.94,Low
Wheat_C230514_0008,wheat_stripe_rust,25700,11016,36716,70.0,30.0,Moderate
Wheat_C230514_0009,wheat_stripe_rust,26152,18144,44296,59.04,40.96,High
Wheat_C230514_0010,wheat_stripe_rust,28511,13198,41709,68.36,31.64,High
Wheat_C230514_0011,wheat_stripe_rust,30412,2271,32683,93.05,6.95,Low
Wheat_C230514_0012,wheat_stripe_rust,18658,26566,45224,41.26,58.74,Severe
Wheat_C230514_0013,wheat_stripe_rust,32191,4093,36284,88.72,11.28,Moderate
Wheat_C230514_0014,wheat_stripe_rust,28917,13120,42037,68.79,31.21,High
Wheat_C230514_0015,wheat_stripe_rust,45839,4122,49961,91.75,8.25,Low
Wheat_C230514_0016,wheat_stripe_rust,44662,7819,52481,85.1,14.9,Moderate
Wheat_C230514_0017,wheat_stripe_rust,21730,16152,37882,57.36,42.64,High
Wheat_C230514_0019,wheat_stripe_rust,28086,2971,31057,90.43,9.57,Low
Wheat_C230514_0023,wheat_stripe_rust,43130,5487,48617,88.71,11.29,Moderate
Wheat_C230514_0024,wheat_stripe_rust,40236,4191,44427,90.57,9.43,Low
Wheat_C230514_0026,wheat_stripe_rust,40240,4819,45059,89.31,10.69,Moderate
Wheat_C230514_0028,wheat_stripe_rust,28420,11728,40148,70.79,29.21,Moderate
Wheat_C230514_0029,wheat_stripe_rust,41737,5131,46868,89.05,10.95,Moderate
Wheat_C230514_0030,wheat_stripe_rust,33886,7347,41233,82.18,17.82,Moderate
Wheat_C230514_0031,wheat_stripe_rust,44933,4005,48938,91.82,8.18,Low
Wheat_C230514_0032,wheat_stripe_rust,18673,10319,28992,64.41,35.59,High
Wheat_C230514_0033,wheat_stripe_rust,37027,3103,40130,92.27,7.73,Low
Wheat_C230514_0034,wheat_stripe_rust,46580,2912,49492,94.12,5.88,Low
Wheat_C230514_0036,wheat_stripe_rust,32147,8009,40156,80.06,19.94,Moderate
Wheat_C230514_0038,wheat_stripe_rust,14700,13677,28377,51.8,48.2,High
Wheat_C230514_0039,wheat_stripe_rust,17119,11607,28726,59.59,40.41,High
Wheat_C230514_0040,wheat_stripe_rust,37891,2304,40195,94.27,5.73,Low
Wheat_C230514_0041,wheat_stripe_rust,39792,1413,41205,96.57,3.43,Low
Wheat_C230514_0042,wheat_stripe_rust,42546,870,43416,98.0,2.0,Low
Wheat_C230514_0044,wheat_stripe_rust,53262,1442,54704,97.36,2.64,Low
Wheat_C230514_0046,wheat_stripe_rust,31291,8462,39753,78.71,21.29,Moderate
Wheat_C230514_0047,wheat_stripe_rust,32570,4832,37402,87.08,12.92,Moderate
Wheat_C230514_0048,wheat_stripe_rust,24128,4258,28386,85.0,15.0,Moderate
Wheat_C230514_0050,wheat_stripe_rust,20519,1891,22410,91.56,8.44,Low
Wheat_C230514_0051,wheat_stripe_rust,29729,6436,36165,82.2,17.8,Moderate
Wheat_C230514_0052,wheat_stripe_rust,31201,7835,39036,79.93,20.07,Moderate
Wheat_C230514_0054,wheat_stripe_rust,23421,9020,32441,72.2,27.8,Moderate
Wheat_C230514_0056,wheat_stripe_rust,17546,7277,24823,70.68,29.32,Moderate
Wheat_C230514_0057,wheat_stripe_rust,15684,6313,21997,71.3,28.7,Moderate
Wheat_C230514_0058,wheat_stripe_rust,11920,9178,21098,56.5,43.5,High
Wheat_C230514_0059,wheat_stripe_rust,15016,6087,21103,71.16,28.84,Moderate
Wheat_C230514_0060,wheat_stripe_rust,20693,13769,34462,60.05,39.95,High
Wheat_C230514_0061,wheat_stripe_rust,38875,1800,40675,95.57,4.43,Low
Wheat_C230514_0062,wheat_stripe_rust,31321,13585,44906,69.75,30.25,High
Wheat_C230514_0063,wheat_stripe_rust,35028,2244,37272,93.98,6.02,Low
Wheat_C230514_0064,wheat_stripe_rust,17517,10998,28515,61.43,38.57,High
Wheat_C230514_0065,wheat_stripe_rust,20564,4843,25407,80.94,19.06,Moderate
Wheat_C230514_0067,wheat_stripe_rust,17489,6587,24076,72.64,27.36,Moderate
Wheat_C230514_0069,wheat_stripe_rust,29246,2887,32133,91.02,8.98,Low
Wheat_C230514_0070,wheat_stripe_rust,26111,23266,49377,52.88,47.12,High
Wheat_C230514_0072,wheat_stripe_rust,30690,8597,39287,78.12,21.88,Moderate
Wheat_C230514_0073,wheat_stripe_rust,16940,6853,23793,71.2,28.8,Moderate
Wheat_C230514_0074,wheat_stripe_rust,23076,4067,27143,85.02,14.98,Moderate
Wheat_C230514_0078,wheat_stripe_rust,42883,3836,46719,91.79,8.21,Low
Wheat_C230514_0079,wheat_stripe_rust,61546,1418,62964,97.75,2.25,Low
Wheat_C230514_0082,wheat_stripe_rust,32057,1904,33961,94.39,5.61,Low
Wheat_C230514_0083,wheat_stripe_rust,20463,15351,35814,57.14,42.86,High
Wheat_C230514_0084,wheat_stripe_rust,15386,16540,31926,48.19,51.81,Severe
Wheat_C230514_0086,wheat_stripe_rust,16536,18785,35321,46.82,53.18,Severe
Wheat_C230514_0087,wheat_stripe_rust,32332,14395,46727,69.19,30.81,High
Wheat_C230514_0089,wheat_stripe_rust,26336,16755,43091,61.12,38.88,High
Wheat_C230514_0090,wheat_stripe_rust,24197,15273,39470,61.3,38.7,High
Wheat_C230514_0091,wheat_stripe_rust,34566,14113,48679,71.01,28.99,Moderate
Wheat_C230514_0092,wheat_stripe_rust,15510,29895,45405,34.16,65.84,Severe
Wheat_C230514_0093,wheat_stripe_rust,57488,9649,67137,85.63,14.37,Moderate
Wheat_C230514_0094,wheat_stripe_rust,19626,2607,22233,88.27,11.73,Moderate
Wheat_C230514_0095,wheat_stripe_rust,47227,3497,50724,93.11,6.89,Low
Wheat_C230514_0096,wheat_stripe_rust,32772,7929,40701,80.52,19.48,Moderate
Wheat_C230514_0097,wheat_stripe_rust,27477,2498,29975,91.67,8.33,Low
Wheat_C230514_0098,wheat_stripe_rust,31746,6310,38056,83.42,16.58,Moderate
Wheat_C230514_0099,wheat_stripe_rust,9665,17237,26902,35.93,64.07,Severe
Wheat_C230514_0100,wheat_stripe_rust,35200,13076,48276,72.91,27.09,Moderate
Wheat_C230514_0102,wheat_stripe_rust,34629,1449,36078,95.98,4.02,Low
Wheat_C230514_0104,wheat_stripe_rust,40337,9855,50192,80.37,19.63,Moderate
Wheat_C230514_0105,wheat_stripe_rust,42516,3317,45833,92.76,7.24,Low
Wheat_C230514_0106,wheat_stripe_rust,40148,14893,55041,72.94,27.06,Moderate
Wheat_C230514_0107,wheat_stripe_rust,42141,13596,55737,75.61,24.39,Moderate
Wheat_C230514_0111,wheat_stripe_rust,26820,12859,39679,67.59,32.41,High
